,ID,Haus/Wohnung,ID.1,Miete/Kauf,address,balcony,builtInKitchen,city,floorplan,from,garden,livingSpace,numberOfRooms,postcode,price,privateOffer,quarter,title,url,price_sq_m,lat1,lon1
0,100027976,Wohnung,100027976.0,Miete,"Pohlestraße 14, Köpenick (Köpenick), Berlin",True,True,Berlin,True,001.3112839,False,83.0,3.0,12557.0,828.0,False,Köpenick (Köpenick),3 RaumWohnung; Balkon +Dach Garten Anteil + EBK Komplett,https://www.immobilienscout24.de/expose/100027976,9.975903614460002,52.44056,13.58415
1,100122011,Wohnung,100122011.0,Miete,"Soldiner Straße 35, Wedding (Wedding), Berlin",False,False,Berlin,False,001.172849,False,83.55,2.0,13359.0,1086.0,False,Wedding (Wedding),!!! DREI NETTOKALTMIETEN FREI !!! - Große 2-Zimmer-Wohnung in Berlin-Wedding,https://www.immobilienscout24.de/expose/100122011,12.9982046679,52.55992,13.38284
2,100149210,Wohnung,100149210.0,Miete,"Vopeliuspfad 10, Zehlendorf (Zehlendorf), Berlin",True,True,Berlin,True,001.453607,False,238.0,6.0,14169.0,2760.0,False,Zehlendorf (Zehlendorf),++Eindrucksvolle Altbauwohnung im 2. OG mit 3 Terrassen in einer restaurierten Villa++Vopeliuspfad++,https://www.immobilienscout24.de/expose/100149210,11.5966386555,52.43492,13.26728
3,100150862,Wohnung,100150862.0,Miete,"Rudolf-von-Gneist-Gasse 1, Tiergarten (Tiergarten), Berlin",True,True,Berlin,True,001.37030,False,102.2,2.0,10785.0,1636.0,False,Tiergarten (Tiergarten),#Skylights: Dachgeschossmaisonette mit großer Terrasse und Panoramafenstern!,https://www.immobilienscout24.de/expose/100150862,16.0078277886,52.506769999999996,13.37421
4,100155473,Wohnung,100155473.0,Miete,"Wackenbergstr. 57, Niederschönhausen (Pankow), Berlin",True,True,Berlin,True,009.bfab7c1d-44dd-4f47-bd7f-06d43ad6fd52,False,74.94,2.0,13156.0,636.76,True,Niederschönhausen (Pankow),"Schön Wohnen im Erdgeschoss mit Terrasse und ""Grünblick"" - Single oder zu Zweit",https://www.immobilienscout24.de/expose/100155473,8.496930878039999,52.586209999999994,13.41376
5,100157936,Wohnung,100157936.0,Miete,"Sophienstr. 9, Mitte (Mitte), Berlin",True,False,Berlin,True,002.01000732049,False,86.42,2.0,10178.0,1728.5,False,Mitte (Mitte),Galerie-Wohnung in den Rosenhöfen!,https://www.immobilienscout24.de/expose/100157936,20.0011571396,52.525119999999994,13.402289999999999
6,100177956,Wohnung,100177956.0,Miete,"Brüder-Grimm-Gasse 1, Tiergarten (Tiergarten), Berlin",True,True,Berlin,True,001.37030,False,125.98,4.0,10785.0,2100.0,False,Tiergarten (Tiergarten),"#Potsdamer Platz: Großzügig, mit Balkon + Terrasse, zwei Bädern, Einbauküche, Parkett!",https://www.immobilienscout24.de/expose/100177956,16.669312589300002,52.50637,13.374
7,100218502,Wohnung,100218502.0,Miete,"Mitte (Mitte), Berlin",True,True,Berlin,True,001.1011756,False,303.0,4.0,10117.0,5446.0,False,Mitte (Mitte),Gönnen Sie sich etwas Luxus - Residieren im Upper Eastside Berlin!,https://www.immobilienscout24.de/expose/100218502,17.9735973597,52.5176896,13.4023757
8,100233054,Wohnung,100233054.0,Miete,"Kurfürstendamm 150, Wilmersdorf (Wilmersdorf), Berlin",True,True,Berlin,True,002.01007311508,False,180.0,4.0,10709.0,2250.0,False,Wilmersdorf (Wilmersdorf),Traum-Penthouse-Wohnung am Ku´damm,https://www.immobilienscout24.de/expose/100233054,12.5,52.498459999999994,13.300529999999998
9,100372560,Wohnung,100372560.0,Miete,"Markgrafenstraße  28, Mitte (Mitte), Berlin",True,True,Berlin,False,001.8347,False,118.2,3.0,10117.0,1650.0,False,Mitte (Mitte),Wir haben was Sie suchen: Beste Lage trifft auf beste Ausstattung,https://www.immobilienscout24.de/expose/100372560,13.9593908629,52.509159999999994,13.39424
