ID,Haus/Wohnung,ID,Miete/Kauf,address,balcony,builtInKitchen,city,floorplan,from,garden,lat,livingSpace,lon,numberOfRooms,postcode,price,privateOffer,quarter,title,url,price_sq_m
100604100,Wohnung,100604100,Miete,"Friedrichshain (Friedrichshain), Berlin",true,true,Berlin,true,009.8f1bca96-c1f9-4870-b7fb-cb786232cb8a,false,,80,,2,10245,1270,false,Friedrichshain (Friedrichshain),Modern möblierte Dachgeschosswohnung in perfekter Lage und Traumblick,https://www.immobilienscout24.de/expose/100604100,15.875
100618542,Wohnung,100618542,Miete,"Badenallee 1, Charlottenburg (Charlottenburg), Berlin",false,false,Berlin,true,001.942945,false,52.50966,195,13.2646,5.5,14052,1900,false,Charlottenburg (Charlottenburg),"Westend, exklusive, helle Altbau-Etagenwohnung mit Wintergarten, 2.OG, Fahrstuhl",https://www.immobilienscout24.de/expose/100618542,9.74358974359
100662492,Wohnung,100662492,Miete,"Alt-Reinickendorf 1, Reinickendorf (Reinickendorf), Berlin",true,false,Berlin,false,001.15797758,false,52.57465,86.94,13.35865,3,13407,634.66,false,Reinickendorf (Reinickendorf),3 Zimmer-Balkonwohnung (WBS-pflichtig !),https://www.immobilienscout24.de/expose/100662492,7.29997699563
100665876,Wohnung,100665876,Miete,"Nestorstraße 13, Wilmersdorf (Wilmersdorf), Berlin",true,false,Berlin,true,002.01000684219,false,52.49661,143.5,13.29942,4.5,10709,2150,false,Wilmersdorf (Wilmersdorf),Hochwertig sanierte einzigartige Altbauwohnung mit Ausblick,https://www.immobilienscout24.de/expose/100665876,14.9825783972
100671373,Wohnung,100671373,Miete,"Friedrichshain (Friedrichshain), Berlin",true,true,Berlin,true,009.8f1bca96-c1f9-4870-b7fb-cb786232cb8a,false,,80,,2,10245,1270,false,Friedrichshain (Friedrichshain),A temporary dream in Friedrichshain,https://www.immobilienscout24.de/expose/100671373,15.875
100721038,Wohnung,100721038,Miete,"Kleiststr. 1, Schöneberg (Schöneberg), Berlin",true,true,Berlin,false,002.01005753173,false,52.50024,200,13.35217,4,10787,4900,false,Schöneberg (Schöneberg),Anspruchsvolles Wohnen…200 m² exklusiv möbliertes 4-Zimmer LUXUS Penthouse nähe KaDeWe... Erstbezug,https://www.immobilienscout24.de/expose/100721038,24.5
100723183,Wohnung,100723183,Miete,"Fürstenwalder Damm 371, Friedrichshagen (Köpenick), Berlin",true,false,Berlin,false,001.719270,false,52.45394,124,13.61034,2.5,12587,1240,false,Friedrichshagen (Köpenick),EXKLUSIV SANIERTE 3 -ZIMMERWOHNUNG MIT BALKON UND WINTERGARTEN,https://www.immobilienscout24.de/expose/100723183,10.0
100724741,Wohnung,100724741,Miete,"Romanshorner Weg 50a, Reinickendorf (Reinickendorf), Berlin",true,true,Berlin,false,001.3249144,false,52.56722,70.33,13.35055,2,13407,960,false,Reinickendorf (Reinickendorf),"Umfassend modernisierte Dachgeschosswohnung mit Einbauküche, Waschmaschine  und Wintergarten",https://www.immobilienscout24.de/expose/100724741,13.6499360159
100726842,Wohnung,100726842,Miete,"Chausseestr. 108, Mitte (Mitte), Berlin",true,true,Berlin,true,001.699976,true,52.53147,65,13.38169,2,10115,1150,false,Mitte (Mitte),Paul Immobilien präsentiert: exklusiv & zentral: 2-Zim-Whg. im LIVING 108  *Möbel nach Absprache*,https://www.immobilienscout24.de/expose/100726842,17.6923076923
100750889,Wohnung,100750889,Miete,"Am Hamburger Bahnhof 3, Tiergarten (Tiergarten), Berlin",true,true,Berlin,true,001.63,false,52.52968,92.83,13.37038,3,10557,1578.11,false,Tiergarten (Tiergarten),Erstbezug - 3-Zimmer-Wohnung mit Klimaanlage und Concierge-Service,https://www.immobilienscout24.de/expose/100750889,17.0
